,pokedex_number,name,type1,type2,generation,hp,attack,defense,sp_attack,sp_defense,speed,base_egg_steps,base_happiness,capture_rate,classification,experience_growth,height_m,percentage_male,weight_kg,is_legendary,percentage_female,ability_0,ability_1,ability_2,ability_3,ability_4,ability_5
309,310,Manectric,electric,none,3,70,75,80,135,80,135,5120,70,45,Discharge Pokémon,1250000,1.5,50.0,40.2,0,50.0,Static,Lightningrod,Minus,,,
310,311,Plusle,electric,none,3,60,50,40,85,75,95,5120,70,200,Cheering Pokémon,1000000,0.4,50.0,4.2,0,50.0,Plus,Lightningrod,,,,
311,312,Minun,electric,none,3,60,40,50,75,85,95,5120,70,200,Cheering Pokémon,1000000,0.4,50.0,4.2,0,50.0,Minus,Volt Absorb,,,,
312,313,Volbeat,bug,none,3,65,73,75,47,85,85,3840,70,150,Firefly Pokémon,600000,0.7,100.0,17.7,0,0.0,Illuminate,Swarm,Prankster,,,
313,314,Illumise,bug,none,3,65,47,75,73,85,85,3840,70,150,Firefly Pokémon,1640000,0.6,0.0,17.7,0,100.0,Oblivious,Tinted Lens,Prankster,,,
314,315,Roselia,grass,poison,3,50,60,45,100,80,65,5120,70,150,Thorn Pokémon,1059860,0.3,50.0,2.0,0,50.0,Natural Cure,Poison Point,Leaf Guard,,,
315,316,Gulpin,poison,none,3,70,43,53,43,53,40,5120,70,225,Stomach Pokémon,1640000,0.4,50.0,10.3,0,50.0,Liquid Ooze,Sticky Hold,Gluttony,,,
316,317,Swalot,poison,none,3,100,73,83,73,83,55,5120,70,75,Poison Bag Pokémon,1640000,1.7,50.0,80.0,0,50.0,Liquid Ooze,Sticky Hold,Gluttony,,,
317,318,Carvanha,water,dark,3,45,90,20,65,20,65,5120,35,225,Savage Pokémon,1250000,0.8,50.0,20.8,0,50.0,Rough Skin,Speed Boost,,,,
318,319,Sharpedo,water,dark,3,70,140,70,110,65,105,5120,35,60,Brutal Pokémon,1250000,1.8,50.0,88.8,0,50.0,Rough Skin,Speed Boost,,,,
319,320,Wailmer,water,none,3,130,70,35,70,35,60,10240,70,125,Ball Whale Pokémon,1640000,2.0,50.0,130.0,0,50.0,Water Veil,Oblivious,Pressure,,,
320,321,Wailord,water,none,3,170,90,45,90,45,60,10240,70,60,Float Whale Pokémon,1640000,14.5,50.0,398.0,0,50.0,Water Veil,Oblivious,Pressure,,,
321,322,Numel,fire,ground,3,60,60,40,65,45,35,5120,70,255,Numb Pokémon,1000000,0.7,50.0,24.0,0,50.0,Oblivious,Simple,Own Tempo,,,
322,323,Camerupt,fire,ground,3,70,120,100,145,105,20,5120,70,150,Eruption Pokémon,1000000,1.9,50.0,220.0,0,50.0,Magma Armor,Solid Rock,Anger Point,,,
323,324,Torkoal,fire,none,3,70,85,140,85,70,20,5120,70,90,Coal Pokémon,1000000,0.5,50.0,80.4,0,50.0,White Smoke,Drought,Shell Armor,,,
324,325,Spoink,psychic,none,3,60,25,35,70,80,60,5120,70,255,Bounce Pokémon,800000,0.7,50.0,30.6,0,50.0,Thick Fat,Own Tempo,Gluttony,,,
325,326,Grumpig,psychic,none,3,80,45,65,90,110,80,5120,70,60,Manipulate Pokémon,800000,0.9,50.0,71.5,0,50.0,Thick Fat,Own Tempo,Gluttony,,,
326,327,Spinda,normal,none,3,60,60,60,60,60,60,3840,70,255,Spot Panda Pokémon,800000,1.1,50.0,5.0,0,50.0,Own Tempo,Tangled Feet,Contrary,,,
327,328,Trapinch,ground,none,3,45,100,45,45,45,10,5120,70,255,Ant Pit Pokémon,1059860,0.7,50.0,15.0,0,50.0,Hyper Cutter,Arena Trap,Sheer Force,,,
328,329,Vibrava,ground,dragon,3,50,70,50,50,50,70,5120,70,120,Vibration Pokémon,1059860,1.1,50.0,15.3,0,50.0,Levitate,,,,,
329,330,Flygon,ground,dragon,3,80,100,80,80,80,100,5120,70,45,Mystic Pokémon,1059860,2.0,50.0,82.0,0,50.0,Levitate,,,,,
330,331,Cacnea,grass,none,3,50,85,40,85,40,35,5120,35,190,Cactus Pokémon,1059860,0.4,50.0,51.3,0,50.0,Sand Veil,Water Absorb,,,,
331,332,Cacturne,grass,dark,3,70,115,60,115,60,55,5120,35,60,Scarecrow Pokémon,1059860,1.3,50.0,77.4,0,50.0,Sand Veil,Water Absorb,,,,
332,333,Swablu,normal,flying,3,45,40,60,40,75,50,5120,70,255,Cotton Bird Pokémon,600000,0.4,50.0,1.2,0,50.0,Natural Cure,Cloud Nine,,,,
333,334,Altaria,dragon,flying,3,75,110,110,110,105,80,5120,70,45,Humming Pokémon,600000,1.1,50.0,20.6,0,50.0,Natural Cure,Cloud Nine,,,,
334,335,Zangoose,normal,none,3,73,115,60,60,60,90,5120,70,90,Cat Ferret Pokémon,600000,1.3,50.0,40.3,0,50.0,Immunity,Toxic Boost,,,,
335,336,Seviper,poison,none,3,73,100,60,100,60,65,5120,70,90,Fang Snake Pokémon,1640000,2.7,50.0,52.5,0,50.0,Shed Skin,Infiltrator,,,,
336,337,Lunatone,rock,psychic,3,90,55,65,95,85,70,6400,70,45,Meteorite Pokémon,800000,1.0,0.0,168.0,0,0.0,Levitate,,,,,
337,338,Solrock,rock,psychic,3,90,95,85,55,65,70,6400,70,45,Meteorite Pokémon,800000,1.2,0.0,154.0,0,0.0,Levitate,,,,,
338,339,Barboach,water,ground,3,50,48,43,46,41,60,5120,70,190,Whiskers Pokémon,1000000,0.4,50.0,1.9,0,50.0,Oblivious,Anticipation,Hydration,,,
339,340,Whiscash,water,ground,3,110,78,73,76,71,60,5120,70,75,Whiskers Pokémon,1000000,0.9,50.0,23.6,0,50.0,Oblivious,Anticipation,Hydration,,,
340,341,Corphish,water,none,3,43,80,65,50,35,35,3840,70,205,Ruffian Pokémon,1640000,0.6,50.0,11.5,0,50.0,Hyper Cutter,Shell Armor,Adaptability,,,
341,342,Crawdaunt,water,dark,3,63,120,85,90,55,55,3840,70,155,Rogue Pokémon,1640000,1.1,50.0,32.8,0,50.0,Hyper Cutter,Shell Armor,Adaptability,,,
342,343,Baltoy,ground,psychic,3,40,40,55,40,70,55,5120,70,255,Clay Doll Pokémon,1000000,0.5,0.0,21.5,0,0.0,Levitate,,,,,
343,344,Claydol,ground,psychic,3,60,70,105,70,120,75,5120,70,90,Clay Doll Pokémon,1000000,1.5,0.0,108.0,0,0.0,Levitate,,,,,
344,345,Lileep,rock,grass,3,66,41,77,61,87,23,7680,70,45,Sea Lily Pokémon,600000,1.0,88.1,23.8,0,11.900000000000006,Suction Cups,Storm Drain,,,,
345,346,Cradily,rock,grass,3,86,81,97,81,107,43,7680,70,45,Barnacle Pokémon,600000,1.5,88.1,60.4,0,11.900000000000006,Suction Cups,Storm Drain,,,,
346,347,Anorith,rock,bug,3,45,95,50,40,50,75,7680,70,45,Old Shrimp Pokémon,600000,0.7,88.1,12.5,0,11.900000000000006,Battle Armor,Swift Swim,,,,
347,348,Armaldo,rock,bug,3,75,125,100,70,80,45,7680,70,45,Plate Pokémon,600000,1.5,88.1,68.2,0,11.900000000000006,Battle Armor,Swift Swim,,,,
348,349,Feebas,water,none,3,20,15,20,10,55,80,5120,70,255,Fish Pokémon,600000,0.6,50.0,7.4,0,50.0,Swift Swim,Oblivious,Adaptability,,,
349,350,Milotic,water,none,3,95,60,79,100,125,81,5120,70,60,Tender Pokémon,600000,6.2,50.0,162.0,0,50.0,Marvel Scale,Competitive,Cute Charm,,,
350,351,Castform,normal,none,3,70,70,70,70,70,70,6400,70,45,Weather Pokémon,1000000,0.3,50.0,0.8,0,50.0,Forecast,,,,,
351,352,Kecleon,normal,none,3,60,90,70,60,120,40,5120,70,200,Color Swap Pokémon,1059860,1.0,50.0,22.0,0,50.0,Color Change,Protean,,,,
352,353,Shuppet,ghost,none,3,44,75,35,63,33,45,6400,35,225,Puppet Pokémon,800000,0.6,50.0,2.3,0,50.0,Insomnia,Frisk,Cursed Body,,,
353,354,Banette,ghost,none,3,64,165,75,93,83,75,6400,35,45,Marionette Pokémon,800000,1.1,50.0,12.5,0,50.0,Insomnia,Frisk,Cursed Body,,,
354,355,Duskull,ghost,none,3,20,40,90,30,90,25,6400,35,190,Requiem Pokémon,800000,0.8,50.0,15.0,0,50.0,Levitate,Frisk,,,,
355,356,Dusclops,ghost,none,3,40,70,130,60,130,25,6400,35,90,Beckon Pokémon,800000,1.6,50.0,30.6,0,50.0,Pressure,Frisk,,,,
356,357,Tropius,grass,flying,3,99,68,83,72,87,51,6400,70,200,Fruit Pokémon,1250000,2.0,50.0,100.0,0,50.0,Chlorophyll,Solar Power,Harvest,,,
357,358,Chimecho,psychic,none,3,75,50,80,95,90,65,6400,70,45,Wind Chime Pokémon,800000,0.6,50.0,1.0,0,50.0,Levitate,,,,,
358,359,Absol,dark,none,3,65,150,60,115,60,115,6400,35,30,Disaster Pokémon,1059860,1.2,50.0,47.0,0,50.0,Pressure,Super Luck,Justified,,,
359,360,Wynaut,psychic,none,3,95,23,48,23,48,23,5120,70,125,Bright Pokémon,1000000,0.6,50.0,14.0,0,50.0,Shadow Tag,Telepathy,,,,
360,361,Snorunt,ice,none,3,50,50,50,50,50,50,5120,70,190,Snow Hat Pokémon,1000000,0.7,50.0,16.8,0,50.0,Inner Focus,Ice Body,Moody,,,
361,362,Glalie,ice,none,3,80,120,80,120,80,100,5120,70,75,Face Pokémon,1000000,1.5,50.0,256.5,0,50.0,Inner Focus,Ice Body,Moody,,,
362,363,Spheal,ice,water,3,70,40,50,55,50,25,5120,70,255,Clap Pokémon,1059860,0.8,50.0,39.5,0,50.0,Thick Fat,Ice Body,Oblivious,,,
363,364,Sealeo,ice,water,3,90,60,70,75,70,45,5120,70,120,Ball Roll Pokémon,1059860,1.1,50.0,87.6,0,50.0,Thick Fat,Ice Body,Oblivious,,,
364,365,Walrein,ice,water,3,110,80,90,95,90,65,5120,70,45,Ice Break Pokémon,1059860,1.4,50.0,150.6,0,50.0,Thick Fat,Ice Body,Oblivious,,,
365,366,Clamperl,water,none,3,35,64,85,74,55,32,5120,70,255,Bivalve Pokémon,600000,0.4,50.0,52.5,0,50.0,Shell Armor,Rattled,,,,
366,367,Huntail,water,none,3,55,104,105,94,75,52,5120,70,60,Deep Sea Pokémon,600000,1.7,50.0,27.0,0,50.0,Swift Swim,Water Veil,,,,
367,368,Gorebyss,water,none,3,55,84,105,114,75,52,5120,70,60,South Sea Pokémon,600000,1.8,50.0,22.6,0,50.0,Swift Swim,Hydration,,,,
368,369,Relicanth,water,rock,3,100,90,130,45,65,55,10240,70,25,Longevity Pokémon,1250000,1.0,88.1,23.4,0,11.900000000000006,Swift Swim,Rock Head,Sturdy,,,
369,370,Luvdisc,water,none,3,43,30,55,40,65,97,5120,70,225,Rendezvous Pokémon,800000,0.6,24.6,8.7,0,75.4,Swift Swim,Hydration,,,,
370,371,Bagon,dragon,none,3,45,75,60,40,30,50,10240,35,45,Rock Head Pokémon,1250000,0.6,50.0,42.1,0,50.0,Rock Head,Sheer Force,,,,
371,372,Shelgon,dragon,none,3,65,95,100,60,50,50,10240,35,45,Endurance Pokémon,1250000,1.1,50.0,110.5,0,50.0,Rock Head,Overcoat,,,,
372,373,Salamence,dragon,flying,3,95,145,130,120,90,120,10240,35,45,Dragon Pokémon,1250000,1.5,50.0,102.6,0,50.0,Intimidate,Moxie,,,,
373,374,Beldum,steel,psychic,3,40,55,80,35,60,30,10240,35,3,Iron Ball Pokémon,1250000,0.6,0.0,95.2,0,0.0,Clear Body,Light Metal,,,,
374,375,Metang,steel,psychic,3,60,75,100,55,80,50,10240,35,3,Iron Claw Pokémon,1250000,1.2,0.0,202.5,0,0.0,Clear Body,Light Metal,,,,
375,376,Metagross,steel,psychic,3,80,145,150,105,110,110,10240,35,3,Iron Leg Pokémon,1250000,1.6,0.0,550.0,0,0.0,Clear Body,Light Metal,,,,
376,377,Regirock,rock,none,3,80,100,200,50,100,50,20480,35,3,Rock Peak Pokémon,1250000,1.7,0.0,230.0,1,0.0,Clear Body,Sturdy,,,,
377,378,Regice,ice,none,3,80,50,100,100,200,50,20480,35,3,Iceberg Pokémon,1250000,1.8,0.0,175.0,1,0.0,Clear Body,Ice Body,,,,
378,379,Registeel,steel,none,3,80,75,150,75,150,50,20480,35,3,Iron Pokémon,1250000,1.9,0.0,205.0,1,0.0,Clear Body,Light Metal,,,,
379,380,Latias,dragon,psychic,3,80,100,120,140,150,110,30720,90,3,Eon Pokémon,1250000,1.4,0.0,40.0,1,100.0,Levitate,,,,,
380,381,Latios,dragon,psychic,3,80,130,100,160,120,110,30720,90,3,Eon Pokémon,1250000,2.0,100.0,60.0,1,0.0,Levitate,,,,,
381,382,Kyogre,water,none,3,100,150,90,180,160,90,30720,0,3,Sea Basin Pokémon,1250000,4.5,0.0,352.0,1,0.0,Drizzle,,,,,
382,383,Groudon,ground,none,3,100,180,160,150,90,90,30720,0,3,Continent Pokémon,1250000,3.5,0.0,950.0,1,0.0,Drought,,,,,
383,384,Rayquaza,dragon,flying,3,105,180,100,180,100,115,30720,0,45,Sky High Pokémon,1250000,7.0,0.0,206.5,1,0.0,Air Lock,,,,,
384,385,Jirachi,steel,psychic,3,100,100,100,100,100,100,30720,100,3,Wish Pokémon,1250000,0.3,0.0,1.1,1,0.0,Serene Grace,,,,,
385,386,Deoxys,psychic,none,3,50,95,90,95,90,180,30720,0,3,DNA Pokémon,1250000,1.7,0.0,60.8,1,0.0,Pressure,,,,,
386,387,Turtwig,grass,none,4,55,68,64,45,55,31,5120,70,45,Tiny Leaf Pokémon,1059860,0.4,88.1,10.2,0,11.900000000000006,Overgrow,Shell Armor,,,,
387,388,Grotle,grass,none,4,75,89,85,55,65,36,5120,70,45,Grove Pokémon,1059860,1.1,88.1,97.0,0,11.900000000000006,Overgrow,Shell Armor,,,,
388,389,Torterra,grass,ground,4,95,109,105,75,85,56,5120,70,45,Continent Pokémon,1059860,2.2,88.1,310.0,0,11.900000000000006,Overgrow,Shell Armor,,,,
389,390,Chimchar,fire,none,4,44,58,44,58,44,61,5120,70,45,Chimp Pokémon,1059860,0.5,88.1,6.2,0,11.900000000000006,Blaze,Iron Fist,,,,
390,391,Monferno,fire,fighting,4,64,78,52,78,52,81,5120,70,45,Playful Pokémon,1059860,0.9,88.1,22.0,0,11.900000000000006,Blaze,Iron Fist,,,,
391,392,Infernape,fire,fighting,4,76,104,71,104,71,108,5120,70,45,Flame Pokémon,1059860,1.2,88.1,55.0,0,11.900000000000006,Blaze,Iron Fist,,,,
392,393,Piplup,water,none,4,53,51,53,61,56,40,5120,70,45,Penguin Pokémon,1059860,0.4,88.1,5.2,0,11.900000000000006,Torrent,Defiant,,,,
393,394,Prinplup,water,none,4,64,66,68,81,76,50,5120,70,45,Penguin Pokémon,1059860,0.8,88.1,23.0,0,11.900000000000006,Torrent,Defiant,,,,
394,395,Empoleon,water,steel,4,84,86,88,111,101,60,5120,70,45,Emperor Pokémon,1059860,1.7,88.1,84.5,0,11.900000000000006,Torrent,Defiant,,,,
395,396,Starly,normal,flying,4,40,55,30,30,30,60,3840,70,255,Starling Pokémon,1059860,0.3,50.0,2.0,0,50.0,Keen Eye,Reckless,,,,
396,397,Staravia,normal,flying,4,55,75,50,40,40,80,3840,70,120,Starling Pokémon,1059860,0.6,50.0,15.5,0,50.0,Intimidate,Reckless,,,,
397,398,Staraptor,normal,flying,4,85,120,70,50,60,100,3840,70,45,Predator Pokémon,1059860,1.2,50.0,24.9,0,50.0,Intimidate,Reckless,,,,
398,399,Bidoof,normal,none,4,59,45,40,35,40,31,3840,70,255,Plump Mouse Pokémon,1000000,0.5,50.0,20.0,0,50.0,Simple,Unaware,Moody,,,
399,400,Bibarel,normal,water,4,79,85,60,55,60,71,3840,70,127,Beaver Pokémon,1000000,1.0,50.0,31.5,0,50.0,Simple,Unaware,Moody,,,
400,401,Kricketot,bug,none,4,37,25,41,25,41,25,3840,70,255,Cricket Pokémon,1059860,0.3,50.0,2.2,0,50.0,Shed Skin,Run Away,,,,
401,402,Kricketune,bug,none,4,77,85,51,55,51,65,3840,70,45,Cricket Pokémon,1059860,1.0,50.0,25.5,0,50.0,Swarm,Technician,,,,
402,403,Shinx,electric,none,4,45,65,34,40,34,45,5120,70,235,Flash Pokémon,1059860,0.5,50.0,9.5,0,50.0,Rivalry,Intimidate,Guts,,,
403,404,Luxio,electric,none,4,60,85,49,60,49,60,5120,100,120,Spark Pokémon,1059860,0.9,50.0,30.5,0,50.0,Rivalry,Intimidate,Guts,,,
404,405,Luxray,electric,none,4,80,120,79,95,79,70,5120,70,45,Gleam Eyes Pokémon,1059860,1.4,50.0,42.0,0,50.0,Rivalry,Intimidate,Guts,,,
405,406,Budew,grass,poison,4,40,30,35,50,70,55,5120,70,255,Bud Pokémon,1059860,0.2,50.0,1.2,0,50.0,Natural Cure,Poison Point,Leaf Guard,,,
406,407,Roserade,grass,poison,4,60,70,65,125,105,90,5120,70,75,Bouquet Pokémon,1059860,0.9,50.0,14.5,0,50.0,Natural Cure,Poison Point,Technician,,,
407,408,Cranidos,rock,none,4,67,125,40,30,30,58,7680,70,45,Head Butt Pokémon,600000,0.9,88.1,31.5,0,11.900000000000006,Mold Breaker,Sheer Force,,,,
408,409,Rampardos,rock,none,4,97,165,60,65,50,58,7680,70,45,Head Butt Pokémon,600000,1.6,88.1,102.5,0,11.900000000000006,Mold Breaker,Sheer Force,,,,
409,410,Shieldon,rock,steel,4,30,42,118,42,88,30,7680,70,45,Shield Pokémon,600000,0.5,88.1,57.0,0,11.900000000000006,Sturdy,Soundproof,,,,
410,411,Bastiodon,rock,steel,4,60,52,168,47,138,30,7680,70,45,Shield Pokémon,600000,1.3,88.1,149.5,0,11.900000000000006,Sturdy,Soundproof,,,,
411,412,Burmy,bug,none,4,40,29,45,29,45,36,3840,70,120,Bagworm Pokémon,1000000,0.2,50.0,3.4,0,50.0,Shed Skin,Overcoat,,,,
412,413,Wormadam,bug,grass,4,60,69,95,69,95,36,3840,70,45,Bagworm Pokémon,1000000,0.5,0.0,6.5,0,100.0,Anticipation,Overcoat,,,,
413,414,Mothim,bug,flying,4,70,94,50,94,50,66,3840,70,45,Moth Pokémon,1000000,0.9,100.0,23.3,0,0.0,Swarm,Tinted Lens,,,,
414,415,Combee,bug,flying,4,30,30,42,30,42,70,3840,70,120,Tiny Bee Pokémon,1059860,0.3,88.1,5.5,0,11.900000000000006,Honey Gather,Hustle,,,,
415,416,Vespiquen,bug,flying,4,70,80,102,80,102,40,3840,70,45,Beehive Pokémon,1059860,1.2,0.0,38.5,0,100.0,Pressure,Unnerve,,,,
416,417,Pachirisu,electric,none,4,60,45,70,45,90,95,2560,100,200,EleSquirrel Pokémon,1000000,0.4,50.0,3.9,0,50.0,Run Away,Pickup,Volt Absorb,,,
417,418,Buizel,water,none,4,55,65,35,60,30,85,5120,70,190,Sea Weasel Pokémon,1000000,0.7,50.0,29.5,0,50.0,Swift Swim,Water Veil,,,,
418,419,Floatzel,water,none,4,85,105,55,85,50,115,5120,70,75,Sea Weasel Pokémon,1000000,1.1,50.0,33.5,0,50.0,Swift Swim,Water Veil,,,,
419,420,Cherubi,grass,none,4,45,35,45,62,53,35,5120,70,190,Cherry Pokémon,1000000,0.4,50.0,3.3,0,50.0,Chlorophyll,,,,,
420,421,Cherrim,grass,none,4,70,60,70,87,78,85,5120,70,75,Blossom Pokémon,1000000,0.5,50.0,9.3,0,50.0,Flower Gift,,,,,
421,422,Shellos,water,none,4,76,48,48,57,62,34,5120,70,190,Sea Slug Pokémon,1000000,0.3,50.0,6.3,0,50.0,Sticky Hold,Storm Drain,Sand Force,,,
422,423,Gastrodon,water,ground,4,111,83,68,92,82,39,5120,70,75,Sea Slug Pokémon,1000000,0.9,50.0,29.9,0,50.0,Sticky Hold,Storm Drain,Sand Force,,,
423,424,Ambipom,normal,none,4,75,100,66,60,66,115,5120,100,45,Long Tail Pokémon,800000,1.2,50.0,20.3,0,50.0,Technician,Pickup,Skill Link,,,
424,425,Drifloon,ghost,flying,4,90,50,34,60,44,70,7680,70,125,Balloon Pokémon,1640000,0.4,50.0,1.2,0,50.0,Aftermath,Unburden,Flare Boost,,,
425,426,Drifblim,ghost,flying,4,150,80,44,90,54,80,7680,70,60,Blimp Pokémon,1640000,1.2,50.0,15.0,0,50.0,Aftermath,Unburden,Flare Boost,,,
426,427,Buneary,normal,none,4,55,66,44,44,56,85,5120,0,190,Rabbit Pokémon,1000000,0.4,50.0,5.5,0,50.0,Run Away,Klutz,Limber,,,
427,428,Lopunny,normal,none,4,65,136,94,54,96,135,5120,140,60,Rabbit Pokémon,1000000,1.2,50.0,33.3,0,50.0,Cute Charm,Klutz,Limber,,,
428,429,Mismagius,ghost,none,4,60,60,60,105,105,105,6400,35,45,Magical Pokémon,800000,0.9,50.0,4.4,0,50.0,Levitate,,,,,
429,430,Honchkrow,dark,flying,4,100,125,52,105,52,71,5120,35,30,Big Boss Pokémon,1059860,0.9,50.0,27.3,0,50.0,Insomnia,Super Luck,Moxie,,,
430,431,Glameow,normal,none,4,49,55,42,42,37,85,5120,70,190,Catty Pokémon,800000,0.5,24.6,3.9,0,75.4,Limber,Own Tempo,Keen Eye,,,
431,432,Purugly,normal,none,4,71,82,64,64,59,112,5120,70,75,Tiger Cat Pokémon,800000,1.0,24.6,43.8,0,75.4,Thick Fat,Own Tempo,Defiant,,,
432,433,Chingling,psychic,none,4,45,30,50,65,50,45,6400,70,120,Bell Pokémon,800000,0.2,50.0,0.6,0,50.0,Levitate,,,,,
433,434,Stunky,poison,dark,4,63,63,47,41,41,74,5120,70,225,Skunk Pokémon,1000000,0.4,50.0,19.2,0,50.0,Stench,Aftermath,Keen Eye,,,
434,435,Skuntank,poison,dark,4,103,93,67,71,61,84,5120,70,60,Skunk Pokémon,1000000,1.0,50.0,38.0,0,50.0,Stench,Aftermath,Keen Eye,,,
435,436,Bronzor,steel,psychic,4,57,24,86,24,86,23,5120,70,255,Bronze Pokémon,1000000,0.5,0.0,60.5,0,0.0,Levitate,Heatproof,Heavy Metal,,,
436,437,Bronzong,steel,psychic,4,67,89,116,79,116,33,5120,70,90,Bronze Bell Pokémon,1000000,1.3,0.0,187.0,0,0.0,Levitate,Heatproof,Heavy Metal,,,
437,438,Bonsly,rock,none,4,50,80,95,10,45,10,5120,70,255,Bonsai Pokémon,1000000,0.5,50.0,15.0,0,50.0,Sturdy,Rock Head,Rattled,,,
438,439,Mime Jr.,psychic,fairy,4,20,25,45,70,90,60,6400,70,145,Mime Pokémon,1000000,0.6,50.0,13.0,0,50.0,Soundproof,Filter,Technician,,,
439,440,Happiny,normal,none,4,100,5,5,15,65,30,10240,140,130,Playhouse Pokémon,800000,0.6,0.0,24.4,0,100.0,Natural Cure,Serene Grace,Friend Guard,,,
440,441,Chatot,normal,flying,4,76,65,45,92,42,91,5120,35,30,Music Note Pokémon,1059860,0.5,50.0,1.9,0,50.0,Keen Eye,Tangled Feet,Big Pecks,,,
441,442,Spiritomb,ghost,dark,4,50,92,108,92,108,35,7680,70,100,Forbidden Pokémon,1000000,1.0,50.0,108.0,0,50.0,Pressure,Infiltrator,,,,
442,443,Gible,dragon,ground,4,58,70,45,40,45,42,10240,70,45,Land Shark Pokémon,1250000,0.7,50.0,20.5,0,50.0,Sand Veil,Rough Skin,,,,
443,444,Gabite,dragon,ground,4,68,90,65,50,55,82,10240,70,45,Cave Pokémon,1250000,1.4,50.0,56.0,0,50.0,Sand Veil,Rough Skin,,,,
444,445,Garchomp,dragon,ground,4,108,170,115,120,95,92,10240,70,45,Mach Pokémon,1250000,1.9,50.0,95.0,0,50.0,Sand Veil,Rough Skin,,,,
445,446,Munchlax,normal,none,4,135,85,40,40,85,5,10240,70,50,Big Eater Pokémon,1250000,0.6,88.1,105.0,0,11.900000000000006,Pickup,Thick Fat,Gluttony,,,
446,447,Riolu,fighting,none,4,40,70,40,35,40,60,6400,70,75,Emanation Pokémon,1059860,0.7,88.1,20.2,0,11.900000000000006,Steadfast,Inner Focus,Prankster,,,
447,448,Lucario,fighting,steel,4,70,145,88,140,70,112,6400,70,45,Aura Pokémon,1059860,1.2,88.1,54.0,0,11.900000000000006,Steadfast,Inner Focus,Justified,,,
448,449,Hippopotas,ground,none,4,68,72,78,38,42,32,7680,70,140,Hippo Pokémon,1250000,0.8,50.0,49.5,0,50.0,Sand Stream,Sand Force,,,,
449,450,Hippowdon,ground,none,4,108,112,118,68,72,47,7680,70,60,Heavyweight Pokémon,1250000,2.0,50.0,300.0,0,50.0,Sand Stream,Sand Force,,,,
450,451,Skorupi,poison,bug,4,40,50,90,30,55,65,5120,70,120,Scorpion Pokémon,1250000,0.8,50.0,12.0,0,50.0,Battle Armor,Sniper,Keen Eye,,,
451,452,Drapion,poison,dark,4,70,90,110,60,75,95,5120,70,45,Ogre Scorp Pokémon,1250000,1.3,50.0,61.5,0,50.0,Battle Armor,Sniper,Keen Eye,,,
452,453,Croagunk,poison,fighting,4,48,61,40,61,40,50,2560,100,140,Toxic Mouth Pokémon,1000000,0.7,50.0,23.0,0,50.0,Anticipation,Dry Skin,Poison Touch,,,
453,454,Toxicroak,poison,fighting,4,83,106,65,86,65,85,5120,70,75,Toxic Mouth Pokémon,1000000,1.3,50.0,44.4,0,50.0,Anticipation,Dry Skin,Poison Touch,,,
454,455,Carnivine,grass,none,4,74,100,72,90,72,46,6400,70,200,Bug Catcher Pokémon,1250000,1.4,50.0,27.0,0,50.0,Levitate,,,,,
455,456,Finneon,water,none,4,49,49,56,49,61,66,5120,70,190,Wing Fish Pokémon,600000,0.4,50.0,7.0,0,50.0,Swift Swim,Storm Drain,Water Veil,,,
456,457,Lumineon,water,none,4,69,69,76,69,86,91,5120,70,75,Neon Pokémon,600000,1.2,50.0,24.0,0,50.0,Swift Swim,Storm Drain,Water Veil,,,
457,458,Mantyke,water,flying,4,45,20,50,60,120,50,6400,70,25,Kite Pokémon,1250000,1.0,50.0,65.0,0,50.0,Swift Swim,Water Absorb,Water Veil,,,
458,459,Snover,grass,ice,4,60,62,50,62,60,40,5120,70,120,Frosted Tree Pokémon,1250000,1.0,50.0,50.5,0,50.0,Snow Warning,Soundproof,,,,
459,460,Abomasnow,grass,ice,4,90,132,105,132,105,30,5120,70,60,Frosted Tree Pokémon,1250000,2.2,50.0,135.5,0,50.0,Snow Warning,Soundproof,,,,
460,461,Weavile,dark,ice,4,70,120,65,45,85,125,5120,35,45,Sharp Claw Pokémon,1059860,1.1,50.0,34.0,0,50.0,Pressure,Pickpocket,,,,
461,462,Magnezone,electric,steel,4,70,70,115,130,90,60,5120,70,30,Magnet Area Pokémon,1000000,1.2,0.0,180.0,0,0.0,Magnet Pull,Sturdy,Analytic,,,
462,463,Lickilicky,normal,none,4,110,85,95,80,95,50,5120,70,30,Licking Pokémon,1000000,1.7,50.0,140.0,0,50.0,Own Tempo,Oblivious,Cloud Nine,,,
463,464,Rhyperior,ground,rock,4,115,140,130,55,55,40,5120,70,30,Drill Pokémon,1250000,2.4,50.0,282.8,0,50.0,Lightningrod,Solid Rock,Reckless,,,
464,465,Tangrowth,grass,none,4,100,100,125,110,50,50,5120,70,30,Vine Pokémon,1000000,2.0,50.0,128.6,0,50.0,Chlorophyll,Leaf Guard,Regenerator,,,
465,466,Electivire,electric,none,4,75,123,67,95,85,95,6400,70,30,Thunderbolt Pokémon,1000000,1.8,75.4,138.6,0,24.599999999999994,Motor Drive,Vital Spirit,,,,
466,467,Magmortar,fire,none,4,75,95,67,125,95,83,6400,70,30,Blast Pokémon,1000000,1.6,75.4,68.0,0,24.599999999999994,Flame Body,Vital Spirit,,,,
467,468,Togekiss,fairy,flying,4,85,50,95,120,115,80,2560,70,30,Jubilee Pokémon,800000,1.5,88.1,38.0,0,11.900000000000006,Hustle,Serene Grace,Super Luck,,,
